index	qualified_name	sentence	predication	main verb	functionality category	"score for the predication(1 absolutely disagree, 2 disagree, 3 agree, 4 absolutely agree)"	"if you disagree with the predication, which category do you think it should belong to? (just write the main verb)"
0	org.apache.poi.hwpf.model.types.PAPAbstractType.setFSideBySide(boolean)	Set the fSideBySide field for the PAP record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
1	org.apache.poi.hslf.record.TxMasterStyleAtom.updateStyles()	Updates the rawdata from the modified paragraph/character styles	4	modify	update/modify/fill/edit/change/rename/populate/adjust/flush/trim/adapt/reconcile/resize	4	
2	org.apache.poi.hssf.record.RecordInputStream.nextRecord()	Moves to the next record in the stream.	54	move	move/scroll/offset/advance	4	
3	org.apache.poi.hwpf.model.types.PAPAbstractType.setRgdxaTab(int[])	Array of positions of itbdMac tab stops.	10	unknown	not a function	4	
4	org.apache.poi.hssf.usermodel.HSSFPrintSetup.setPageStart(short)	Set the page numbering start.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
5	org.apache.poi.hwpf.model.CharIndexTranslator.isIndexInTable(int)	Check if index is in table	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
6	org.apache.poi.hssf.record.CFRuleRecord.toString()	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
7	org.apache.poi.xssf.streaming.SXSSFSheet.getColumnStyle(int)	"Returns the CellStyle that applies to the given  (0 based) column	 or null if no style has been  set for that column"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
8	org.apache.poi.hwpf.model.types.BKFAbstractType.setFCol(boolean)	Sets the fCol field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
9	org.apache.poi.xssf.usermodel.extensions.XSSFCellAlignment.setWrapText(boolean)	Set whether the text should be wrapped	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
10	org.apache.poi.hssf.usermodel.HSSFSheet.getPhysicalNumberOfRows()	Returns the number of physically defined rows (NOT the number of rows in the sheet)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
11	"org.apache.poi.ss.usermodel.Workbook.setSheetName(int	java.lang.String)"	Set the sheet name.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
12	org.apache.poi.hssf.record.FeatHdrRecord.getSid()	return the non static version of the id for this record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
13	org.apache.poi.hwpf.model.types.TLPAbstractType.getSize()	Size of record (exluding 4 byte header)	10	unknown	not a function	4	
14	org.apache.poi.hssf.view.brush.PendingPaintings.pendingPaintingsFor(javax.swing.JComponent)	"Returns the pending painting object for the given component	 if any."	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
15	org.apache.poi.hwpf.model.types.PAPAbstractType.setFAutoSpaceDN(boolean)	auto space East Asian and numeric characters.	10	unknown	not a function	4	
16	org.apache.poi.hwpf.usermodel.SectionProperties.setNfcFtnRef(int)	"sprmSNfcFtnRef	 [MS-DOC]	 v20140721"	10	unknown	not a function	4	
17	org.apache.poi.xssf.usermodel.XSSFBorderFormatting.setVerticalBorderColor(short)	"Range internal border color	 such as table styles"	10	unknown	not a function	4	
18	org.apache.poi.hssf.record.MergeCellsRecord.getNumAreas()	get the number of merged areas.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
19	org.apache.poi.hpsf.Section.clear()	Removes all properties from the section including 0 (dictionary) and 1 (codepage).	48	clear	clear/clean/remove/empty	4	
20	org.apache.poi.sl.draw.DrawGraphicalFrame.draw(java.awt.Graphics2D)	Draw this shape into the supplied canvas	9	draw	draw/render/paint/redraw/repaint	4	
21	org.apache.poi.hwpf.model.types.DOPAbstractType.setFShadeFormData(boolean)	Sets the fShadeFormData field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
22	org.apache.poi.hssf.record.NoteRecord.setColumn(int)	Specify the column that contains the comment	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
23	org.apache.poi.hwpf.model.types.SEPAbstractType.getDyaHdrTop()	Get the dyaHdrTop field for the SEP record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
